wikiStats|id

redirects|6797
p|flagbearer|1
p|bronze|1
p|games|1
p|officials|0

template|Templat:Kecamatan
count|6576
properties|13
p|nama camat|6098
p|kelurahan|6408
p|pict|0
p|nama|6576
p|nama dati2|6573
p|peta|662
p|kepadatan|6279
p|dati2|6573
p|luas|6390
p|gambar|9
p|provinsi|6525
p|BPS_code|1
p|penduduk|6287

template|Templat:16TeamBracket
count|5
properties|97
p|RD2-seed03|5
p|RD1-seed12|5
p|RD1-team06|5
p|RD4-score02|5
p|RD1-seed01|5
p|RD1-team03|5
p|RD2-score02|5
p|RD1-seed06|5
p|RD1-team15|5
p|RD2-seed07|5
p|RD1-score06|5
p|RD2-team04|5
p|RD3-team02|5
p|RD1-score03|5
p|RD1-team11|5
p|RD2-score05|5
p|RD1-score14|5
p|group2|5
p|RD3|5
p|RD1-team09|5
p|RD1-score11|5
p|RD1-seed07|5
p|RD1-seed13|5
p|RD1-seed02|5
p|RD4-seed02|5
p|RD3-seed02|5
p|RD1-team12|5
p|RD1-score02|5
p|RD1-seed04|5
p|RD1-team02|5
p|RD1-seed11|5
p|RD3-team03|5
p|RD1-score07|5
p|RD1-seed15|5
p|RD2-score01|5
p|RD2-team03|5
p|RD3-seed01|5
p|RD2-seed06|5
p|group3|0
p|RD1-seed03|5
p|RD1-score13|5
p|RD1-seed14|5
p|RD4-seed01|5
p|RD1|5
p|RD1-seed08|5
p|RD3-score03|5
p|RD2-seed01|5
p|RD1-score10|5
p|RD2-score06|5
p|RD4-team02|5
p|RD3-score02|5
p|RD3-score01|5
p|RD1-seed05|5
p|RD1-score12|5
p|RD3-team04|5
p|RD3-score04|5
p|RD1-score01|5
p|RD2-team07|5
p|RD2-seed04|5
p|RD1-seed16|5
p|RD1-team08|5
p|RD1-score08|5
p|RD1-score09|5
p|RD2-team02|5
p|RD2-seed05|5
p|RD4-score01|5
p|RD2-team06|5
p|RD1-seed09|5
p|RD2-score07|5
p|RD1-team01|5
p|RD2-seed02|5
p|RD2-score08|5
p|RD2|5
p|RD1-team16|5
p|RD1-team13|5
p|RD1-seed10|5
p|RD4-team01|5
p|RD2-score03|5
p|RD3-seed04|5
p|RD2-team05|5
p|RD1-team05|5
p|RD2-team08|5
p|RD1-team14|5
p|RD1-team07|5
p|RD1-team04|5
p|RD1-score16|5
p|RD1-score05|5
p|RD3-team01|5
p|RD2-seed08|5
p|RD2-score04|5
p|RD1-score15|5
p|RD3-seed03|5
p|RD1-score04|5
p|group1|5
p|RD4|5
p|RD2-team01|5
p|RD1-team10|5

template|Templat:Suksesi awatara
count|11
properties|4
p|sesudah|13
p|nama|11
p|urutan|11
p|sebelum|13

template|Templat:Kotak info danau
count|66
properties|25
p|reference|0
p|coords|0
p|catchment|16
p|area|52
p|residence_time|3
p|align|0
p|shore|24
p|inflow|35
p|max-depth|46
p|image bathymetry|0
p|basin_countries|72
p|image lake|0
p|elevation|44
p|frozen|2
p|depth|34
p|length|29
p|caption_bathymetry|0
p|outflow|32
p|type|42
p|lake_name|70
p|width|26
p|islands|32
p|volume|29
p|caption_lake|43
p|cities|47

template|Templat:Infobox australian football club
count|1
properties|28
p|afterfinals|0
p|capacity3|0
p|url|1
p|image|0
p|founded|1
p|home&away|0
p|league|1
p|topgoalkicker|1
p|ground3|0
p|bestandfairest|1
p|jumper|1
p|formernames|1
p|season|1
p|pre-season|0
p|dissolved|0
p|coach|1
p|fullname|1
p|ground2|1
p|ground|1
p|capacity2|1
p|captain|3
p|premierships|2
p|nicknames|1
p|colours|1
p|current|0
p|motto|0
p|chairman|1
p|capacity|1

template|Templat:City in Russia
count|1
properties|50
p|footnotes|0
p|timezone_DST|1
p|utc_offset|1
p|population_density|0
p|population_density_mi2|0
p|website|1
p|longd|1
p|image flag|0
p|area_urban|0
p|map_caption|0
p|imagesize|0
p|population_as_of|1
p|area_water|1
p|area_metro|0
p|official_name|1
p|longEW|1
p|timezone|1
p|image_seal|1
p|LandArea_sq_mi|0
p|TotalArea_sq_mi|0
p|population_metro|0
p|longm|1
p|latNS|1
p|leader_name|1
p|UrbanArea_sq_mi|0
p|image_skyline|0
p|area_land|1
p|leader_title|1
p|elevation|1
p|image skyline|0
p|longs|1
p|utc offset|0
p|image seal|0
p|WaterArea_sq_mi|0
p|population_total|1
p|image_caption|0
p|postal_code|1
p|elevation_ft|0
p|population_note|0
p|subdivision_name|1
p|population_urban|0
p|MetroArea_sq_mi|0
p|dialing_code|1
p|utc offset DST|0
p|license_plate|0
p|motto|0
p|image_map|0
p|image_flag|1
p|subdivision_type|1
p|nickname|0

template|Templat:Findagrave
count|1
properties|4
p|name|1
p|1|0
p|grid|1
p|2|0

template|Templat:Provinsi di Indonesia
count|3
properties|2
p|state|0
p|below|0

template|Templat:Topik Amerika Selatan
count|1
properties|14
p|navbar|1
p|name|0
p|border|1
p|state|1
p|image|0
p|groupstyle|1
p|prefix|0
p|suffix|0
p|1|0
p|countries_only|0
p|2|0
p|liststyle|0
p|title|1
p|titlestyle|1

template|Templat:Infobox television film
count|37
properties|35
p|format|1
p|network|30
p|website|3
p|italic title|1
p|name|36
p|genre|6
p|starring|168
p|writer|77
p|released|12
p|image_size|4
p|image|0
p|last_aired|0
p|music|24
p|bgcolour|0
p|studio|15
p|country|25
p|cinematography|11
p|first_aired|0
p|creator|2
p|narrator|1
p|language|37
p|screenplay|2
p|followed_by|3
p|alt|1
p|caption|27
p|director|36
p|story|0
p|budget|8
p|distributor|23
p|num_episodes|0
p|editing|11
p|preceded_by|6
p|runtime|28
p|producer|57
p|based on|2

template|Templat:Kualifikasi UEFA Euro 2012 Group B
count|2
properties|3
p|tiebreakers|2
p|expanded|2
p|scenarios|0

template|Templat:Pekonnama samsir a rahim syi
count|1
properties|0

template|Templat:DCGroupIEA
count|2
properties|139
p|1RP-seed3|0
p|RD2-score8|2
p|RD1-date|2
p|RD1-seed12|2
p|1RP-score3|2
p|1RP-seed8|0
p|2RP-seed2|0
p|RD2-date|2
p|RD1-team15|2
p|RD2-team7|0
p|RD1-team2|2
p|1RPT1-loc|0
p|2RP-date|2
p|1RP-score5|2
p|RD1-seed8|0
p|RD1T2-loc|0
p|Relteam1|0
p|RD1-score3|0
p|Promteam2|0
p|RD1-score8|2
p|RD2T2-loc|4
p|RD1-team11|2
p|1RP-team7|0
p|RD2-score5|2
p|RD1-score2|0
p|RD2-seed4|0
p|RD2-score2|2
p|RD1-score14|2
p|RD1-seed3|0
p|1RP-seed7|0
p|RD1-team5|0
p|2RP-score3|2
p|RD1-score11|0
p|RD1-seed7|0
p|RD2-team1|0
p|RD1-seed13|0
p|RD1T5-loc|4
p|2RP-seed1|0
p|RD1T8-loc|0
p|RD1-team12|0
p|1RPT3-loc|2
p|1RP-score4|2
p|RD1-seed11|0
p|RD4-score4|0
p|RD1-score9|2
p|RD1-seed15|0
p|RD1-team8|0
p|RD2-score7|2
p|RD1-team7|0
p|1RP-team4|0
p|RD1-seed4|0
p|RD1-score5|0
p|RD2-team6|0
p|Promteam3|0
p|2RP-score4|2
p|RD1-team4|2
p|RD2-seed3|2
p|RD1-seed1|2
p|1RP-seed1|0
p|RD1-score13|2
p|RD1-seed14|0
p|1RP-team8|0
p|Year|2
p|RD1-score1|0
p|1RP-team3|0
p|RD2-team2|0
p|2RP-team2|0
p|1RP-seed4|0
p|2RP-score1|2
p|RD2-seed7|0
p|RD1-score10|2
p|2RP-score2|2
p|1RP-score1|0
p|RD1T4-loc|2
p|RD2-seed6|2
p|RD1-score12|0
p|RD2-team4|0
p|2RPT2-loc|0
p|2RP-team4|0
p|RD2-seed2|0
p|RD2T1-loc|6
p|RD1-seed5|2
p|RD2-score6|2
p|RD1-seed16|2
p|1RP-team1|2
p|RD1T6-loc|0
p|RD1T3-loc|0
p|RD1-score6|0
p|Promteam4|0
p|RD2-team5|0
p|1RP-team5|0
p|1RP-seed2|0
p|RD2-score3|2
p|1RP-score8|2
p|2RP-seed4|0
p|RD2-seed8|2
p|1RP-team2|0
p|RD1-team16|0
p|RD4-score8|0
p|RD1-team13|0
p|RD1-seed10|0
p|1RP-seed5|0
p|RD1T1-loc|0
p|1RP-date|0
p|RD2-team3|0
p|RD1-seed9|0
p|RD2-seed1|2
p|RD1-team1|0
p|RD1-team14|0
p|Promteam1|0
p|RD1-team3|0
p|2RP-team3|0
p|1RP-score2|0
p|RD1-score16|0
p|Relteam2|0
p|RD2-score1|2
p|1RP-score6|2
p|RD2-team8|0
p|RD1-score4|0
p|RD1-team6|2
p|1RP-seed6|0
p|RD1-team9|0
p|RD2T3-loc|4
p|1RP-team6|0
p|RD1-seed2|0
p|RD1-score15|0
p|1RPT4-loc|4
p|RD1-score7|2
p|2RP-team1|0
p|1RPT2-loc|2
p|RD1T7-loc|4
p|RD2-score4|2
p|RD2-seed5|0
p|2RP-seed3|0
p|RD2T4-loc|2
p|2RPT1-loc|4
p|RD1-seed6|0
p|RD1-team10|0
p|1RP-score7|2

template|Templat:DCGroupIIEA
count|2
properties|139
p|RD2-score8|2
p|RD1-seed12|2
p|RD0-score5|2
p|RD3-team4|0
p|RD0-team4|0
p|RD1-team15|0
p|RD2-team7|0
p|RD1-team2|0
p|RD1-seed8|0
p|RD1T2-loc|4
p|RD0-team8|0
p|Relteam1|0
p|RD1-score3|2
p|Promteam2|0
p|RD1-score8|2
p|RD2T2-loc|4
p|RD1-team11|0
p|RD0-seed5|0
p|RD0T4-loc|4
p|RD2-score5|2
p|RD0-seed2|2
p|RD1-score2|2
p|RD2-seed4|0
p|RD3-score2|2
p|RD2-score2|2
p|RD1-score14|2
p|RD1-seed3|2
p|RD1-team5|0
p|RD0-score2|2
p|RD1-score11|2
p|RD1-seed7|2
p|RD2-team1|0
p|RD3-team1|0
p|RD1-seed13|0
p|RD1T5-loc|4
p|RD1T8-loc|4
p|RD0T2-loc|4
p|RD1-team12|0
p|RD3-seed3|2
p|RD1-seed11|0
p|RD4-score4|0
p|RD3T1-loc|4
p|RD1-score9|2
p|RD1-seed15|0
p|RD0T3-loc|4
p|RD1-team8|0
p|RD2-score7|2
p|RD0-score6|2
p|RD1-team7|0
p|RD1-seed4|0
p|RD1-score5|2
p|RD2-team6|0
p|RD0-seed1|0
p|RD1-team4|0
p|RD0-score7|2
p|RD0-score1|2
p|RD2-seed3|2
p|RD1-seed1|2
p|Relteam4|0
p|RD1-score13|2
p|RD1-seed14|2
p|RD0-seed8|0
p|Year|2
p|RD1-score1|2
p|RD3T2-loc|4
p|RD2-team2|0
p|RD2-seed7|0
p|RD1-score10|2
p|RD3-score1|2
p|RD1T4-loc|4
p|RD2-seed6|0
p|RD1-score12|2
p|RD2-team4|0
p|RD3-seed4|0
p|RD3-score4|2
p|RD0-team6|0
p|RD2-seed2|0
p|RD2T1-loc|4
p|RD1-seed5|2
p|RD0-score8|2
p|RD2-score6|2
p|RD1-seed16|2
p|RD3-team2|0
p|RD2date|2
p|RD1T6-loc|4
p|Relteam3|0
p|RD1T3-loc|4
p|RD1-score6|2
p|RD2-team5|0
p|RD2-score3|2
p|RD3-seed1|2
p|RD0-team5|0
p|RD2-seed8|2
p|RD1-team16|0
p|RD4-score8|0
p|RD1-team13|0
p|RD1-seed10|2
p|RD0-seed4|2
p|RD0-team3|0
p|RD0-seed7|2
p|RD1T1-loc|4
p|RD2-team3|0
p|RD1-seed9|0
p|RD0-team7|0
p|RD3-seed2|0
p|RD0-team1|0
p|RD2-seed1|2
p|RD0-score4|2
p|RD1-team1|0
p|RD3-score3|2
p|RD1-team14|0
p|Promteam1|0
p|RD1-team3|0
p|RD3-team3|0
p|RD1-score16|2
p|Relteam2|0
p|RD2-score1|2
p|RD2-team8|0
p|RD1-score4|2
p|RD1-team6|0
p|RD0-team2|0
p|RD0-score3|2
p|RD3date|2
p|RD0date|2
p|RD0T1-loc|4
p|RD1-team9|0
p|RD2T3-loc|4
p|RD1-seed2|0
p|RD1-score15|2
p|RD1-score7|2
p|RD0-seed6|2
p|RD0-seed3|0
p|RD1T7-loc|4
p|RD2-score4|2
p|RD2-seed5|2
p|RD2T4-loc|4
p|RD1date|2
p|RD1-seed6|0
p|RD1-team10|0

template|Templat:BLP unsourced
count|1
properties|0

template|Templat:S-ttl
count|1129
properties|51
p|with21|0
p|with18|0
p|with13|0
p|regent4|0
p|with25|0
p|years|2272
p|with24|0
p|tahun|1
p|with3|0
p|years8|0
p|with7|0
p|with14|0
p|years6|0
p|with22|0
p|with11|0
p|regent5|0
p|regent1|73
p|years3|0
p|with10|0
p|with6|0
p|creation|4
p|with8|0
p|with17|0
p|jabatan|1
p|with2|2
p|regent6|0
p|years5|0
p|years2|8
p|lords|0
p|alongside|18
p|with9|0
p|with|5
p|regent2|9
p|with5|0
p|with16|0
p|regent3|0
p|with12|0
p|title|2533
p|dynasty|1
p|with23|0
p|district|0
p|regent7|0
p|years1|27
p|years4|0
p|with15|0
p|with20|0
p|rows|36
p|with4|0
p|regent8|0
p|with19|0
p|years7|0

template|Templat:Nat fs g start
count|3
properties|2
p|fs|0
p|textcolor|3

template|Templat:Infobox Military unit
count|4
properties|55
p|aircraft_bomber|0
p|aircraft_electronic|0
p|commander2_label|0
p|start_date|0
p|size|4
p|march|0
p|current_commander|2
p|commander1|0
p|identification_symbol|0
p|commander3_label|0
p|role|4
p|unit_name|4
p|image|0
p|notable_commanders|1
p|branch|4
p|allegiance|0
p|command_structure|3
p|commander2|0
p|country|2
p|current_commander_label|0
p|ceremonial_chief_label|0
p|anniversaries|1
p|patron|0
p|colors|4
p|colonel_of_the_regiment_label|0
p|garrison|2
p|specialization|0
p|dates|3
p|ceremonial_chief|0
p|end_date|0
p|caption|3
p|colonel_of_the_regiment|2
p|colors_label|0
p|equipment_label|0
p|garrison_label|0
p|commander3|0
p|decorations|0
p|aircraft_recon|0
p|identification_symbol_label|0
p|battle_honours|0
p|aircraft_fighter|0
p|equipment|0
p|type|4
p|commander1_label|0
p|aircraft_transport|0
p|aircraft_trainer|0
p|aircraft_attack|0
p|identification_symbol_2|0
p|aircraft_interceptor|0
p|battles|2
p|mascot|0
p|motto|2
p|identification_symbol_2_label|0
p|aircraft_patrol|0
p|nickname|2

template|Templat:Wilayah Geografis
count|30
properties|10
p|South|31
p|Northeast|9
p|East|31
p|Southeast|8
p|Center|0
p|Northwest|7
p|Centre|30
p|West|33
p|Southwest|8
p|North|31

template|Templat:Cityrail Station alt
count|1
properties|55
p|altitude|1
p|servicearea_color8|1
p|servicearea5|1
p|servicearea_textcolor13|1
p|servicearea_textcolor2|1
p|servicearea2|1
p|metro|0
p|servicearea_color5|1
p|servicearea_color10|1
p|connect|1
p|platform_arr|1
p|servicearea_textcolor6|1
p|servicearea3|1
p|station_name|1
p|traintype|1
p|image|0
p|servicearea12|1
p|facilities|1
p|servicearea|1
p|servicearea9|1
p|servicearea_color2|1
p|servicearea_textcolor5|1
p|servicearea_color7|1
p|servicearea4|1
p|servicearea_color13|1
p|servicearea11|1
p|servicearea_textcolor4|1
p|servicearea_color6|1
p|servicearea_textcolor9|1
p|gates|1
p|code|1
p|servicearea10|1
p|tracks|1
p|suburb|1
p|platforms|1
p|servicearea_textcolor11|1
p|servicearea8|1
p|servicearea_textcolor8|1
p|servicearea7|1
p|servicearea_color12|1
p|servicearea_color3|1
p|stationtype|1
p|disabled|1
p|servicearea_textcolor12|1
p|street|1
p|servicearea13|1
p|servicearea_textcolor10|1
p|servicearea_color9|1
p|servicearea6|1
p|town|0
p|servicearea_textcolor3|1
p|servicearea_color11|1
p|servicearea_textcolor7|1
p|distance|1
p|servicearea_color4|1

template|Templat:Mtnbox start
count|1
properties|6
p|Elevation|1
p|Caption|1
p|Photo|1
p|Location|2
p|Name|1
p|Range|1

template|Templat:Tibetan-Chinese-box
count|1
properties|0

template|Templat:Infobox Lokomotif
count|51
properties|110
p|lpcylindersize|0
p|trainbrakes|0
p|frontcylindersize|0
p|weight|45
p|currentowner|0
p|name|3
p|builddate|27
p|designer|0
p|generator|1
p|leadingsize|0
p|officialname|0
p|lastrundate|1
p|wheelbase|1
p|powertype|52
p|restoredate|0
p|numberrebuilt|0
p|imagesize|0
p|superheatertype|0
p|weightondrivers|1
p|trailingsize|0
p|consumption|1
p|framesize|0
p|whytetype|24
p|powerclass|0
p|image|0
p|tractionmotors|26
p|axleloadclass|0
p|cylindercount|6
p|uicclass|43
p|tendertype|0
p|valvelap|0
p|deliverydate|0
p|disposition|3
p|railroadclass|1
p|fireboxarea|1
p|axleload|0
p|driversize|3
p|bogies|2
p|watercap|4
p|rebuilder|0
p|fueltype|28
p|retiredate|0
p|scrapdate|0
p|cylindersize|21
p|feedwaterheater|0
p|aarwheels|44
p|height|4
p|locobrakes|1
p|aspiration|0
p|multipleworking|0
p|hatnote|0
p|builder|53
p|valvetype|0
p|collectionmethod|0
p|valvelead|0
p|minimumcurve|9
p|tractiveeffort|3
p|alternator|2
p|superheaterarea|1
p|poweroutput|43
p|locale|6
p|watercons|0
p|electricsystem|0
p|rearcylindersize|0
p|trainheating|0
p|fuelcap|4
p|railroad|8
p|lubecap|1
p|tendercap|1
p|boiler|1
p|enginetype|8
p|withdrawndate|0
p|hpcylindersize|0
p|totalproduction|25
p|totalsurface|1
p|firearea|0
p|firstrundate|0
p|valvegear|0
p|primemover|7
p|caption|40
p|factorofadhesion|1
p|sandcap|0
p|numinclass|0
p|rpmrange|0
p|roadnumber|1
p|locotenderweight|1
p|valvetravel|0
p|preservedunit|0
p|boilerpressure|2
p|gauge|50
p|length|41
p|tubearea|1
p|notes|0
p|rebuilddate|0
p|wheeldiameter|19
p|trucks|0
p|coolantcap|2
p|safety|1
p|topspeed|48
p|tubesandflues|0
p|transmission|3
p|buildmodel|28
p|width|35
p|tenderweight|0
p|ordernumber|0
p|locobrakeforce|0
p|displacement|0
p|serialnumber|24
p|fluearea|1
p|nickname|0

template|Templat:Infobox shopping mall
count|83
properties|25
p|footnotes|1
p|number_of_stores|18
p|coordinates|3
p|image_width|8
p|website|38
p|completion_date|2
p|start_date|2
p|location|113
p|image|0
p|closing_date|2
p|number_of_anchors|10
p|groundbreaking_date|2
p|developer|31
p|opening_date|75
p|shopping_mall_name|85
p|renovation_date|2
p|floor_area|33
p|manager|22
p|caption|22
p|floors|60
p|address|56
p|owner|38
p|parking|24
p|inauguration_date|2
p|architect|2

template|Templat:Infobox Olympics South Korea
count|1
properties|10
p|gold|1
p|competitors|1
p|rank|1
p|silver|1
p|sports|1
p|total|1
p|flagbearer|1
p|bronze|1
p|games|1
p|officials|0

template|Templat:Sister
count|1
properties|7
p|below|0
p|image|0
p|project|1
p|text|1
p|imageright|0
p|1|0
p|position|0

template|Templat:TaxonIDs
count|1
properties|0

template|Templat:Infobox Buddhist biography
count|14
properties|29
p|school|11
p|children|0
p|website|1
p|name|13
p|lineage|0
p|reincarnation_of|2
p|student|0
p|teacher|4
p|death_date|4
p|birth_place|11
p|birth_name|3
p|successor|6
p|img_capt|5
p|death_place|2
p|spouse|0
p|img|12
p|dharma_name|1
p|workplace|1
p|partner|0
p|landscape|0
p|other_names|4
p|education|0
p|denomination|5
p|nationality|5
p|title|16
p|occupation|2
p|birth_date|6
p|predecessor|7
p|img_size|2

template|Templat:Kotak info penyiaran
count|10
properties|27
p|coordinates|2
p|network|0
p|former_affiliations|10
p|facility_id|9
p|city|4
p|station_branding|15
p|location|21
p|licensee|7
p|callsign_meaning|11
p|founded|1
p|sister_stations|17
p|station_slogan|10
p|homepage|11
p|affiliations|10
p|former_channel_numbers|25
p|station_logo|7
p|subchannels|14
p|class|1
p|owner|11
p|other_chs|7
p|effective_radiated_power|11
p|call_letters|10
p|airdate|10
p|analog|4
p|digital|14
p|former_callsigns|6
p|HAAT|9

template|Templat:Wayback
count|8
properties|6
p|url|9
p|site|0
p|1|0
p|date|8
p|2|0
p|title|6

template|Templat:Npg name
count|2
properties|0

template|Templat:Kotak info tim kriket
count|1
properties|37
p|oneday|1
p|title2|1
p|overseas2|0
p|website|1
p|title3wins|1
p|bowlingcoach|0
p|odcaptain|0
p|image|0
p|fieldingcoach|0
p|founded|1
p|title1|1
p|secondteam|0
p|2captain|0
p|overseas|0
p|county|1
p|colors|0
p|coach|1
p|ceo|0
p|ground|2
p|manager|0
p|frcwins|0
p|title2wins|1
p|captain|1
p|fcdebutvs|1
p|owner|0
p|title3|1
p|adviser|0
p|fcdebutvenue|1
p|fcdebutyr|1
p|sheffield|0
p|IPLwins|0
p|overseas1|0
p|1captain|0
p|t20wins|0
p|title1wins|1
p|chairman|0
p|capacity|1

template|Templat:Isu name
count|1
properties|4
p|name|1
p|1|0
p|id|1
p|2|0

template|Templat:Infobox criminal organization
count|6
properties|20
p|membership|1
p|name|6
p|allies|11
p|image_size|1
p|image|0
p|founded|1
p|criminal activities|14
p|activities|0
p|ethnic makeup|2
p|years_active|0
p|membership est|4
p|territory|6
p|caption|3
p|ethnicity|1
p|years active|6
p|founding_location|0
p|founded by|2
p|rivals|7
p|founding location|7
p|founded_by|0

template|Templat:Gazetteer of Australia
count|1
properties|2
p|name|1
p|id|1

template|Templat:Fussballdaten
count|8
properties|4
p|name|8
p|1|0
p|id|8
p|2|0

template|Templat:European national under-21 football team
count|1
properties|82
p|FIFA Trigramme|0
p|Badge_size|0
p|Name|1
p|pattern_so2|0
p|pattern_sh3|0
p|Nickname|1
p|2ndRegional cup best|0
p|pattern_b1|0
p|Regional cup apps|0
p|rightarm3|0
p|pattern_sh1|0
p|Coach|1
p|Regional cup first|0
p|pattern_so3|0
p|Elo max date|0
p|Regional name|0
p|shorts1|1
p|2ndRegional cup first|0
p|Most caps|0
p|Home Stadium|0
p|Largest win|1
p|World cup best|0
p|pattern_ra1|0
p|Top scorer|0
p|leftarm1|1
p|pattern_b2|0
p|pattern_name3|0
p|World cup apps|0
p|FIFA max|0
p|socks3|0
p|FIFA min date|0
p|pattern_la3|0
p|UEFAu21Champ first|1
p|leftarm2|1
p|pattern_la1|0
p|World cup first|0
p|pattern_name1|0
p|body3|0
p|Regional cup best|0
p|rightarm1|1
p|FIFA Rank|0
p|Association|1
p|date|0
p|shorts2|1
p|Confederations cup best|0
p|body2|1
p|pattern_ra2|0
p|FIFA min|0
p|pattern_b3|0
p|Asst Manager|0
p|First game|1
p|2ndRegional cup apps|0
p|socks2|1
p|Confederation|0
p|pattern_so1|0
p|Elo max|0
p|kit_image1|0
p|UEFAu21Champ apps|1
p|Youngest caps|0
p|Elo min date|0
p|UEFAu21Champ best|1
p|pattern_name2|0
p|2ndRegional name|0
p|leftarm3|0
p|pattern_la2|0
p|Captain|1
p|Largest loss|1
p|shorts3|0
p|Elo min|0
p|kit_image3|0
p|rightarm2|1
p|Elo Rank|0
p|pattern_ra3|0
p|FIFA max date|0
p|socks1|1
p|Confederations cup apps|0
p|kit|0
p|Badge|1
p|body1|1
p|pattern_sh2|0
p|kit_image2|0
p|Confederations cup first|0

template|Templat:Infobox news event
count|16
properties|34
p|litigation|0
p|website|0
p|reported injuries|9
p|filmed by|0
p|inquest|0
p|url|0
p|event|0
p|image_size|7
p|image|0
p|publication bans|0
p|convictions|0
p|reported death(s)|7
p|coroner|0
p|verdict|0
p|participants|3
p|outcome|4
p|casualties1|2
p|reported property damage|1
p|awards|0
p|also known as|4
p|charges|1
p|date|5
p|caption|14
p|suspect(s)|0
p|casualties2|2
p|casualties3|0
p|image_name|6
p|place|26
p|notes|1
p|time|9
p|image name|0
p|burial|0
p|first reporter|0
p|inquiries|0

template|Templat:Metacritic film
count|77
properties|4
p|1|0
p|title|77
p|id|77
p|2|0

template|Templat:Navboxes berwarna
count|1693
properties|7
p|state|6
p|fg|1424
p|bg|1833
p|bordercolor|661
p|list1|1
p|title|1834
p|list|0

template|Templat:Operational plan
count|3
properties|26
p|coordinates|0
p|partof|2
p|name|3
p|location|0
p|image|0
p|conflict|0
p|scope|2
p|timezone|0
p|outcome|3
p|instigator|0
p|fatalities|0
p|injuries|0
p|time-end|0
p|casualties|3
p|objective|3
p|executed|2
p|planned|0
p|date|0
p|time-begin|0
p|caption|3
p|executed_by|6
p|planned_by|3
p|target|0
p|time|0
p|title|0
p|type|0

template|Templat:Infobox provinsi Belgia
count|7
properties|15
p|area|7
p|LocalNameInLanguage2|2
p|population_as_of|3
p|map|7
p|populationdensity|7
p|population|7
p|coatofarms|7
p|LocalNameInLanguage3|1
p|officialsite|7
p|capital|7
p|EnglishName|7
p|LocalNameInLanguage1|1
p|region|6
p|flag|7
p|governor|7

template|Templat:Soccerbase (manager)
count|6
properties|4
p|name|6
p|1|0
p|id|6
p|2|0

template|Templat:Infobox Province TR
count|52
properties|34
p|area|52
p|name|52
p|p10|0
p|rural population|0
p|upop_ref|0
p|turkname|49
p|p12|0
p|map|52
p|p4|0
p|p7|0
p|p5|0
p|largest_city|0
p|rpop_as_of|0
p|area_code|52
p|seat|2
p|urban population|1
p|p15|0
p|total population|52
p|licence|52
p|largest city|0
p|electdistrict|18
p|p3|0
p|rpop_ref|0
p|p11|0
p|p2|0
p|p14|0
p|region|52
p|upop_as_of|0
p|governor|5
p|p9|0
p|p1|0
p|p13|0
p|p6|0
p|p8|0

template|Templat:Infobox adult biography
count|35
properties|40
p|bgafd|0
p|spelling|25
p|measureispenis|4
p|weight|3
p|hair_color|23
p|name|33
p|death|0
p|number_of_films|8
p|iafd|2
p|eye_color|22
p|location|0
p|photo|0
p|death_date|0
p|afdb|2
p|birth_place|56
p|image|0
p|birth_name|14
p|death_place|5
p|spouse|1
p|birth|0
p|measurements|2
p|height|4
p|eye color|7
p|skin color|0
p|films|2
p|imdb|5
p|eurobabeindex|0
p|birthname|1
p|alias|17
p|hair color|7
p|caption|8
p|homepage|4
p|ethnicity|23
p|skin_color|1
p|number of films|6
p|birth_date|1
p|shoe size|1
p|gender|20
p|egafd|0
p|blood|0

template|Templat:BBKL
count|1
properties|0

template|Templat:Infobox Cheese
count|163
properties|16
p|weight|1
p|name|163
p|source|164
p|image|0
p|regiontown|54
p|protein|0
p|country|163
p|fat|106
p|pasteurised|148
p|certification|133
p|dimensions|0
p|region|128
p|town|3
p|othernames|22
p|aging|134
p|texture|140

template|Templat:Nat fs r player
count|23
properties|9
p|name|525
p|club|524
p|clubnat|463
p|pos|525
p|age|0
p|latest|505
p|other|0
p|goals|525
p|caps|525

template|Templat:Navbox
count|87
properties|117
p|listclass|2
p|navbar|26
p|list15|7
p|group6style|0
p|group19style|0
p|group10style|0
p|list12|8
p|group12|8
p|list6style|0
p|name|66
p|evenstyle|0
p|list11style|0
p|group4style|0
p|list1style|0
p|list16style|0
p|imageleftstyle|0
p|group13|7
p|list20style|0
p|aboveclass|0
p|belowclass|1
p|border|0
p|list17style|0
p|state|14
p|below|24
p|group2|68
p|list8|16
p|group17|6
p|group1style|0
p|style|5
p|image|0
p|groupstyle|1
p|group15style|0
p|groupclass|0
p|list3|75
p|group17style|0
p|groupwidth|0
p|group5style|0
p|group11|11
p|list13|7
p|belowstyle|1
p|list7|20
p|group13style|0
p|listpadding|0
p|evenodd|0
p|innerstyle|0
p|list10style|0
p|group2style|0
p|list18style|0
p|list2style|0
p|titlegroupclass|0
p|group20style|0
p|group6|32
p|list4|76
p|list20|4
p|list15style|0
p|group14|7
p|list14style|0
p|group3|67
p|list3style|0
p|list7style|0
p|above|8
p|imagestyle|0
p|group7style|0
p|list19|4
p|group18|4
p|list14|7
p|group18style|0
p|titleclass|0
p|bodystyle|0
p|list12style|0
p|list8style|0
p|list10|13
p|list1|105
p|group11style|0
p|group9|14
p|1|0
p|group7|21
p|group10|13
p|group19|4
p|list9style|0
p|list13style|0
p|group3style|0
p|group8style|0
p|group15|7
p|list4style|0
p|group12style|0
